decade,explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
0,0,295653,0.0351,0.65,0.62,0,8,0.153,-8.146,0.0293,96.392,4,1,0.626,44
0,0,243840,0.003,0.206,0.462,0,1,0.313,-9.165,0.0304,187.51,3,1,0.261,41
0,0,143230,0.824,0.574,0.374,0,0,0.581,-15.127,0.0392,106.456,4,0,0.82,42
0,0,283373,0.473,0.534,0.192,5.08e-06,1,0.0805,-20.742,0.0358,92.712,4,0,0.0431,37
0,0,384493,0.0364,0.655,0.543,0.00093,1,0.0602,-10.884,0.0353,81.006,4,1,0.694,35
0,0,597960,0.993,0.385,0.00189,0.919,1,0.0955,-28.565,0.0487,93.131,4,1,0.153,45
0,0,147160,0.459,0.572,0.484,0,0,0.0937,-7.93,0.0382,104.59,4,0,0.544,34
0,0,297080,0.266,0.7,0.766,0.591,1,0.0692,-9.885,0.0463,89.973,4,1,0.95,34
0,0,223400,0.165,0.652,0.409,0,0,0.213,-11.016,0.0471,78.75,4,1,0.607,32
0,1,323160,0.00246,0.416,0.664,3.94e-06,2,0.545,-4.873,0.042,145.978,4,0,0.216,33
0,0,205293,0.0266,0.531,0.561,0,5,0.135,-8.363,0.0401,177.79,4,1,0.735,31
0,0,220693,0.00761,0.581,0.384,1e-05,6,0.147,-11.172,0.0295,123.577,4,1,0.159,31
0,0,156015,0.995,0.646,0.178,0.707,7,0.148,-18.189,0.0495,83.736,4,0,0.847,32
0,0,192346,0.000407,0.287,0.774,0,8,0.0487,-7.961,0.0396,103.279,3,1,0.429,31
0,0,354986,0.844,0.639,0.232,0.000105,3,0.111,-16.509,0.0445,80.781,3,1,0.33,29
0,0,224629,0.989,0.225,0.0384,0.0153,3,0.2,-23.192,0.0463,68.023,3,1,0.0501,29
0,0,203840,0.196,0.7,0.6,0,2,0.0846,-8.341,0.0423,87.837,4,1,0.848,29
0,0,167133,0.236,0.731,0.694,0,0,0.0621,-8.791,0.279,163.455,4,0,0.903,29
0,0,354333,0.963,0.364,0.0453,0.0378,5,0.0989,-23.319,0.0377,136.925,4,0,0.12,44
0,0,146703,0.97,0.771,0.294,0.899,1,0.133,-17.831,0.0492,120.507,4,1,0.966,33
0,1,165093,0.183,0.306,0.611,0,4,0.278,-4.944,0.0541,163.032,4,1,0.468,27
0,0,265106,0.214,0.726,0.848,0.000511,6,0.0594,-7.227,0.0485,116.097,4,1,0.954,25
0,0,176600,0.218,0.889,0.563,0,9,0.0735,-8.954,0.051,98.99,4,1,0.795,25
0,0,271253,0.945,0.346,0.0501,1.84e-06,1,0.11,-17.158,0.0533,174.139,3,0,0.127,25
0,0,262773,0.33,0.681,0.569,0.00038,11,0.323,-10.769,0.0295,102.402,1,1,0.458,24
0,0,258226,0.202,0.501,0.44,0.00145,9,0.107,-14.466,0.0372,82.489,4,1,0.868,35
0,0,127508,0.826,0.711,0.167,1.15e-05,1,0.264,-17.15,0.0719,137.651,4,1,0.826,33
0,0,335173,0.0372,0.556,0.7,5.12e-06,0,0.0877,-9.842,0.0338,113.484,4,1,0.391,24
0,0,217586,0.00563,0.508,0.697,1.34e-06,8,0.38,-7.638,0.0426,126.169,4,1,0.563,23
0,0,203493,0.265,0.547,0.374,0,11,0.0758,-13.318,0.0291,116.114,4,1,0.184,23
0,0,314510,0.864,0.641,0.132,0.0117,1,0.134,-20.584,0.0413,124.885,4,1,0.745,33
0,0,224760,0.527,0.669,0.904,2.02e-06,11,0.204,-6.01,0.0482,90.982,4,1,0.852,22
0,0,197021,0.551,0.131,0.0602,0.742,1,0.111,-26.226,0.0747,81.44,4,1,0.04,30
0,0,328440,0.112,0.754,0.655,0.00275,0,0.0614,-8.501,0.086,74.089,4,1,0.908,22
0,0,246666,0.385,0.744,0.726,1.38e-05,6,0.156,-9.553,0.0553,96.039,4,1,0.933,22
0,0,280573,0.426,0.639,0.38,0.000584,0,0.124,-16.251,0.0753,97.814,1,1,0.488,32
0,0,189600,0.963,0.686,0.373,0.0883,4,0.13,-16.429,0.0411,73.008,4,0,0.607,31
0,0,237506,0.945,0.543,0.335,0.284,7,0.092,-16.074,0.0563,125.854,3,0,0.77,37
0,0,255634,0.734,0.237,0.142,0.991,7,0.146,-22.138,0.0516,69.846,4,1,0.0357,24
0,0,231400,0.097,0.569,0.393,0,0,0.426,-10.854,0.0403,151.518,4,1,0.607,20
0,0,267258,0.732,0.718,0.396,0,5,0.0562,-10.663,0.0449,122.778,4,1,0.961,40
0,0,260333,0.272,0.639,0.559,0.794,4,0.0926,-11.073,0.0322,104.034,4,0,0.579,19
0,0,239516,0.838,0.53,0.592,0,7,0.0638,-7.485,0.0397,112.866,4,1,0.885,38
0,0,228000,0.895,0.278,0.171,0.972,1,0.111,-38.058,0.0845,136.134,3,1,0.242,19
0,0,282985,0.194,0.504,0.451,0,1,0.0873,-6.509,0.029,134.006,4,1,0.268,24
0,0,418011,0.966,0.0879,0.0851,0.974,0,0.0927,-24.225,0.0429,86.616,4,1,0.0332,26
0,0,267813,0.392,0.668,0.67,0.852,2,0.0667,-10.05,0.0438,152.098,4,0,0.845,18
0,0,281906,0.224,0.734,0.86,0.000703,1,0.0628,-7.675,0.0606,116.635,4,1,0.63,18
0,0,330226,0.991,0.364,0.149,0.895,1,0.0848,-21.076,0.0418,128.31,3,1,0.0496,28
0,0,252266,0.646,0.68,0.588,1.48e-05,5,0.0512,-8.662,0.156,114.258,4,1,0.775,23
0,0,283640,0.107,0.836,0.906,0,2,0.0375,-5.288,0.0422,126.247,4,1,0.866,23
0,0,303040,0.99,0.26,0.0172,0.897,8,0.0943,-26.925,0.0517,114.588,4,1,0.0494,32
0,0,278053,0.000154,0.764,0.792,0.803,1,0.194,-8.341,0.0337,125.612,4,1,0.494,27
0,0,182711,0.936,0.546,0.203,0.000103,10,0.276,-21.065,0.0626,174.054,4,1,0.886,23
0,0,452866,0.277,0.535,0.351,8.87e-05,7,0.253,-10.952,0.0436,179.085,4,1,0.18,17
0,0,226063,0.831,0.737,0.385,7.48e-05,7,0.0844,-9.929,0.0415,122.862,4,1,0.912,36
0,0,394453,0.789,0.646,0.309,0.124,5,0.0602,-19.625,0.0471,148.667,4,0,0.403,16
0,0,176106,0.836,0.626,0.174,0.315,7,0.0793,-21.359,0.0507,120.225,3,0,0.872,31
0,0,276363,0.00197,0.22,0.646,0.00315,1,0.0973,-8.167,0.0366,146.836,4,0,0.297,16
0,0,268693,0.435,0.4,0.449,1.1e-06,3,0.081,-11.942,0.0827,122.466,4,1,0.207,16
0,0,157485,0.351,0.458,0.239,0.865,8,0.112,-29.655,0.0369,131.637,4,1,0.636,24
0,0,212173,0.317,0.309,0.495,0,0,0.228,-9.466,0.0561,85.67,5,1,0.377,15
0,0,190026,0.164,0.521,0.165,0.00068,11,0.103,-17.07,0.0311,114.618,4,1,0.198,16
0,0,293035,0.361,0.595,0.683,0.644,3,0.0785,-9.075,0.042,98.992,4,0,0.457,15
0,0,325381,0.784,0.171,0.04,0.9,2,0.0944,-28.041,0.045,179.546,3,1,0.0424,20
0,0,193593,0.984,0.691,0.096,0.0034,8,0.182,-24.777,0.178,113.624,4,1,0.904,21
0,0,195786,0.00144,0.782,0.393,0.00729,10,0.0567,-12.832,0.189,168.524,4,0,0.714,23
0,0,174040,0.831,0.662,0.301,0.000135,4,0.0878,-17.236,0.0735,119.435,4,0,0.504,34
0,0,226560,0.00298,0.161,0.619,0.000308,1,0.269,-7.038,0.0376,80.71,4,1,0.394,14
0,0,258266,0.0104,0.348,0.652,0,8,0.409,-11.002,0.036,149.329,4,0,0.616,14
0,0,178706,0.485,0.467,0.268,0.198,1,0.11,-20.622,0.0377,134.147,4,1,0.122,14
0,0,303386,0.943,0.35,0.05,0.301,5,0.106,-23.013,0.0366,102.304,4,0,0.11,30
0,0,216733,0.91,0.496,0.785,0.02,10,0.858,-8.699,0.236,164.597,4,0,0.441,14
0,0,272800,0.0914,0.822,0.904,4.4e-05,9,0.0457,-2.841,0.0974,102.507,4,1,0.862,24
0,0,203000,0.000353,0.329,0.929,0.000317,8,0.327,-8.315,0.062,152.386,4,0,0.478,14
0,0,317493,0.297,0.812,0.756,0.852,0,0.352,-8.267,0.0291,123.041,4,1,0.965,13
0,0,168276,0.938,0.544,0.178,0.0123,4,0.193,-21.2,0.0518,201.405,4,0,0.836,18
0,0,329266,0.714,0.846,0.663,4.16e-06,9,0.326,-5.713,0.211,97.99,4,0,0.712,22
0,1,243026,0.00299,0.63,0.885,0,1,0.219,-6.487,0.116,107.936,4,1,0.589,13
0,0,206760,0.479,0.64,0.914,0,11,0.54,-5.749,0.0769,140.69,4,0,0.708,12
0,0,181253,0.794,0.625,0.346,3.32e-06,5,0.146,-9.828,0.0672,71.88,4,1,0.824,12
0,0,182360,2.05e-05,0.346,0.844,9.86e-06,6,0.0677,-8.013,0.0384,152.206,4,1,0.644,12
0,0,222378,0.984,0.481,0.0379,0,2,0.328,-27.007,0.0682,127.642,4,1,0.52,13
0,0,167740,0.946,0.815,0.367,1.1e-05,0,0.0738,-14.478,0.195,126.81,4,1,0.962,17
0,0,183867,0.982,0.63,0.203,0.316,5,0.0987,-22.827,0.043,131.472,4,0,0.937,14
0,0,215101,0.892,0.588,0.343,0.703,7,0.131,-14.166,0.112,176.275,4,1,0.916,13
0,0,235546,0.342,0.646,0.509,0,11,0.0867,-8.881,0.0281,120.224,4,1,0.681,13
0,0,269466,0.783,0.744,0.508,0.107,10,0.0372,-7.736,0.0832,120.416,4,1,0.911,22
0,0,269165,0.825,0.22,0.297,0.942,2,0.0996,-14.092,0.0298,83.338,4,1,0.0371,18
0,0,366186,0.957,0.362,0.132,0.0025,2,0.0825,-18.873,0.0432,85.284,4,1,0.238,28
0,0,412280,0.0701,0.699,0.906,0.0255,7,0.0382,-8.151,0.0432,127.962,4,1,0.965,15
0,0,197953,0.992,0.291,0.0797,0.865,9,0.15,-22.777,0.0356,109.177,4,0,0.238,16
0,0,306866,0.268,0.567,0.912,0.227,8,0.118,-9.834,0.0868,102.607,4,1,0.806,19
0,0,181786,7.15e-06,0.311,0.943,3.71e-06,8,0.117,-7.893,0.053,153.931,4,0,0.451,11
0,0,133773,0.68,0.767,0.62,0,0,0.291,-8.79,0.0515,129.257,4,1,0.961,36
0,0,418986,6.24e-05,0.36,0.888,0.113,10,0.0864,-6.242,0.0677,174.982,4,0,0.109,19
0,0,210133,0.322,0.374,0.262,0,7,0.135,-11.009,0.0398,67.297,3,1,0.589,10
0,0,221156,0.979,0.353,0.0324,0.00554,3,0.121,-24.764,0.0402,99.542,4,1,0.127,14
0,0,208677,0.7,0.741,0.366,0.413,4,0.0663,-12.418,0.366,77.977,4,0,0.478,36
0,0,364280,0.765,0.326,0.0851,0.000417,7,0.108,-21.966,0.0364,177.951,3,1,0.155,29
0,0,243352,0.0881,0.687,0.749,0,2,0.102,-4.609,0.029,143.951,4,1,0.891,23
0,0,280413,0.881,0.482,0.153,0.0611,2,0.112,-19.288,0.0425,118.656,3,0,0.441,27
0,0,309000,0.819,0.393,0.271,0.0356,2,0.181,-16.801,0.0299,90.067,4,1,0.392,30
0,0,198533,0.693,0.708,0.43,0.000354,8,0.07,-14.181,0.0589,88.159,4,1,0.774,22
0,0,122080,0.994,0.534,0.136,0.919,8,0.555,-21.075,0.0644,134.772,4,1,0.472,12
0,0,153012,0.995,0.579,0.0806,0.0275,10,0.354,-20.04,0.0429,127.73,4,1,0.594,11
0,0,295785,0.0558,0.485,0.427,0,0,0.156,-8.069,0.0287,135.806,4,1,0.25,13
0,0,222000,0.874,0.485,0.176,0.947,6,0.112,-19.021,0.0394,139.979,3,1,0.0367,11
0,0,307983,0.479,0.112,0.203,0.956,2,0.0957,-15.247,0.0369,75.437,4,1,0.0444,17
0,0,141866,0.947,0.605,0.665,0.606,7,0.32,-12.06,0.069,132.603,4,1,0.866,11
