explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
0,173104,0.449,0.603,0.783,7.96e-06,6,0.119,-4.023,0.062,172.041,4,1,0.775,90
0,160239,0.583,0.575,0.648,0,10,0.115,-4.891,0.0358,75.977,4,1,0.466,92
0,240400,0.0495,0.612,0.807,0.0177,10,0.101,-2.81,0.0336,124.053,4,1,0.398,92
0,204093,0.0489,0.525,0.621,0,7,0.294,-7.364,0.116,191.9,4,1,0.591,94
0,229640,0.00128,0.509,0.812,1.99e-05,8,0.214,-5.439,0.0537,159.878,4,1,0.689,81
1,145800,0.365,0.727,0.739,0.00137,8,0.161,-3.805,0.0411,93.005,4,1,0.533,94
1,220586,0.109,0.773,0.75,0,8,0.174,-4.009,0.117,123.426,4,0,0.783,86
0,211560,0.127,0.714,0.8,0,11,0.359,-4.808,0.0504,134.002,4,0,0.589,94
1,165819,0.0769,0.671,0.529,0.000335,0,0.0856,-7.226,0.307,161.989,4,1,0.203,86
0,206639,0.908,0.339,0.214,7.47e-06,4,0.341,-11.714,0.0375,94.775,3,1,0.363,92
1,239835,0.349,0.511,0.566,0,6,0.34,-7.23,0.2,83.903,4,0,0.218,88
0,212750,0.937,0.372,0.537,0.873,9,0.287,-7.623,0.0305,123.735,3,1,0.228,86
0,182946,0.498,0.657,0.56,0,6,0.0794,-9.049,0.0467,161.993,4,0,0.854,90
0,320466,0.229,0.508,0.792,0.124,0,0.145,-7.311,0.0297,147.067,4,0,0.601,82
0,215280,0.192,0.695,0.762,0.00244,0,0.0863,-3.497,0.0395,120.042,4,1,0.553,89
0,260173,0.0678,0.588,0.521,0.149,10,0.123,-9.461,0.0329,85.012,4,1,0.337,88
0,165906,0.483,0.716,0.512,0,1,0.0928,-6.257,0.0331,104.957,3,1,0.326,92
1,209273,0.544,0.515,0.479,0.00598,3,0.191,-7.458,0.0261,88.964,4,1,0.284,86
1,180386,0.371,0.558,0.559,7.49e-06,6,0.109,-9.222,0.0959,78.558,4,1,0.62,84
0,214333,0.28,0.321,0.64,0,2,0.718,-10.023,0.0324,146.172,3,1,0.414,90
1,226986,0.21,0.749,0.463,0.0382,11,0.338,-8.433,0.0842,90.035,4,1,0.189,87
1,119133,0.469,0.872,0.391,4.13e-06,0,0.297,-9.144,0.242,134.021,4,0,0.437,88
0,179499,0.0884,0.682,0.9,0.063,9,0.0685,-5.028,0.0874,100.721,4,1,0.937,84
1,145542,0.0852,0.897,0.662,0,1,0.534,-6.903,0.292,112.511,4,0,0.389,84
1,153800,0.188,0.673,0.649,0,1,0.122,-8.433,0.196,153.075,4,0,0.47,83
1,195873,0.0135,0.794,0.766,0,9,0.0785,-3.894,0.0377,127.007,4,0,0.55,83
0,237720,0.148,0.671,0.673,5.29e-05,11,0.304,-6.941,0.0444,121.963,4,0,0.494,94
1,240050,0.328,0.685,0.692,0,2,0.153,-5.122,0.0457,159.966,5,1,0.578,85
0,234346,0.369,0.614,0.68,1.84e-06,6,0.115,-4.58,0.0289,149.959,4,1,0.707,81
1,182706,0.00264,0.732,0.75,0,11,0.109,-6.366,0.231,155.096,4,0,0.401,85
1,142000,0.0967,0.585,0.471,0.0184,4,0.115,-9.934,0.0616,93.099,4,0,0.323,86
1,235320,0.0531,0.831,0.427,0,2,0.307,-6.903,0.106,93.004,4,1,0.216,83
0,128198,0.0092,0.613,0.822,0.506,9,0.429,-4.087,0.026,105.997,4,1,0.567,86
1,146520,0.0172,0.797,0.533,0.000152,0,0.103,-9.74,0.0412,131.036,4,0,0.329,85
0,218106,0.00543,0.611,0.797,0.00137,6,0.26,-7.627,0.0533,120.041,4,0,0.518,85
0,352186,0.0739,0.455,0.623,0.000424,8,0.146,-3.878,0.0288,163.893,4,1,0.208,79
1,243836,0.0847,0.841,0.728,0,7,0.149,-3.37,0.0484,130.049,4,1,0.43,87
1,326933,0.167,0.743,0.347,0.00951,1,0.103,-11.174,0.121,160.143,4,1,0.572,85
1,296520,0.0193,0.766,0.74,0.0784,1,0.229,-10.363,0.0807,118.008,4,1,0.183,85
1,95466,0.847,0.734,0.57,2.14e-05,7,0.112,-7.066,0.133,129.953,4,0,0.689,87
1,221746,0.617,0.703,0.757,0,1,0.106,-3.612,0.05,82.008,4,1,0.696,82
1,167864,0.669,0.67,0.905,0.000227,1,0.349,-6.855,0.129,104.965,4,1,0.563,83
1,386906,0.0703,0.716,0.531,0,7,0.224,-7.355,0.122,71.994,4,1,0.344,80
1,242253,0.0671,0.585,0.564,0,0,0.135,-7.063,0.0515,113.003,4,0,0.137,87
1,166605,0.258,0.74,0.613,0.00372,8,0.123,-4.88,0.145,75.023,4,1,0.473,87
1,206333,0.0273,0.657,0.668,0,2,0.32,-6.208,0.136,162.997,4,1,0.227,83
1,195320,0.0967,0.621,0.73,0.000131,5,0.673,-5.414,0.107,139.566,4,0,0.464,84
0,158040,0.556,0.76,0.479,0,2,0.0703,-5.574,0.0466,89.911,4,1,0.913,87
0,217866,0.511,0.498,0.59,0,1,0.107,-4.721,0.032,145.867,4,0,0.0784,84
0,184153,0.113,0.566,0.366,0.181,7,0.155,-12.808,0.028,129.959,4,1,0.237,86
1,142273,0.0355,0.963,0.346,0,5,0.108,-9.309,0.53,119.957,4,0,0.562,82
0,174000,0.122,0.548,0.816,0,0,0.335,-4.209,0.0465,95.39,4,1,0.557,90
1,216320,0.0115,0.64,0.74,0.00678,4,0.167,-4.083,0.0284,116.879,4,1,0.785,86
0,198213,0.0447,0.247,0.438,0.000867,5,0.111,-8.478,0.0358,185.711,3,1,0.39,84
1,246213,0.0361,0.772,0.413,0,0,0.111,-8.193,0.089,131.965,4,0,0.211,79
0,200185,0.934,0.351,0.296,0,4,0.095,-10.109,0.0333,115.284,4,0,0.12,89
0,177280,0.00301,0.471,0.924,0,8,0.313,-3.906,0.0586,154.961,4,1,0.725,83
0,293293,0.205,0.392,0.37,0.0096,9,0.0821,-10.888,0.0298,48.718,4,1,0.512,81
1,110886,0.661,0.592,0.457,0.000331,9,0.146,-6.081,0.0603,146.04,4,0,0.225,87
1,172800,0.149,0.88,0.428,5.05e-05,9,0.114,-8.28,0.206,100.007,4,1,0.333,83
0,208760,0.0807,0.636,0.676,0,2,0.0831,-3.442,0.0263,113.98,4,1,0.273,80
0,196520,0.0371,0.764,0.705,1.94e-05,3,0.0943,-5.279,0.0278,101.003,4,0,0.672,84
1,213593,0.149,0.837,0.364,0,8,0.271,-11.713,0.276,123.984,4,1,0.463,82
1,213400,0.264,0.8,0.585,0,10,0.153,-7.343,0.0924,126.058,4,1,0.779,82
1,152293,0.632,0.744,0.516,0,2,0.605,-6.365,0.0513,97.944,4,1,0.281,82
1,189322,0.0687,0.474,0.631,0,5,0.132,-5.884,0.343,180.051,4,0,0.425,83
0,161123,0.0483,0.691,0.631,1.13e-05,2,0.104,-6.478,0.0368,92.004,4,1,0.8,87
1,190066,0.23,0.554,0.498,5.98e-06,9,0.795,-8.866,0.0685,79.635,4,1,0.413,83
1,196652,0.104,0.896,0.586,0,10,0.79,-6.687,0.0559,116.971,4,0,0.642,85
0,190845,0.00294,0.501,0.765,0.49,6,0.184,-7.063,0.0281,91.771,4,0,0.46,83
0,175426,0.0384,0.72,0.791,0,1,0.157,-4.689,0.124,102.071,4,1,0.756,85
0,119786,0.865,0.647,0.465,0,7,0.0882,-8.308,0.0428,151.251,4,1,0.699,88
0,278179,0.422,0.658,0.294,5.2e-05,4,0.0749,-8.533,0.0321,74.038,4,0,0.358,83
1,198293,0.223,0.765,0.356,0,11,0.0963,-5.556,0.195,96.991,4,0,0.189,82
0,187333,0.85,0.725,0.446,0.243,4,0.107,-8.958,0.0287,90.024,4,0,0.311,87
1,135090,0.556,0.921,0.537,0.00404,9,0.102,-5.723,0.0804,128.009,4,0,0.711,86
0,208211,0.969,0.545,0.366,0.267,2,0.641,-9.51,0.0378,86.997,3,1,0.1,78
1,152041,0.53,0.629,0.676,0.000325,1,0.701,-7.088,0.191,90.377,4,0,0.497,81
0,206506,0.897,0.704,0.103,0,5,0.192,-15.056,0.0607,84.475,4,0,0.468,80
0,205453,0.657,0.631,0.591,0,7,0.11,-5.785,0.0277,97.074,4,1,0.489,79
1,229146,0.145,0.367,0.665,0,1,0.113,-2.821,0.0465,148.913,4,1,0.31,82
0,233720,0.0157,0.609,0.692,0,1,0.0864,-2.958,0.0259,116.959,3,1,0.454,89
0,231723,0.262,0.538,0.557,0.914,11,0.102,-8.678,0.0914,131.03,4,1,0.506,83
0,182306,0.296,0.551,0.529,0.0093,5,0.178,-10.469,0.0517,75.515,4,0,0.521,82
